index k seed graph algorithm obj_func
0 1216 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 699364
0 1216 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7671953
0 1216 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5227435
0 1216 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2942395
0 1216 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605823
0 1216 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352319
0 1216 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441254
0 1216 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6339087
0 1216 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3528551
0 1216 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17719718
0 1216 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4327201
0 1216 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21583201
0 1280 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 940926
0 1280 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 983994
0 1280 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 979852
0 1280 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7776688
0 1280 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 770189
0 1280 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 206635
0 1280 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2105366
0 1280 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10419467
0 1280 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5250879
0 1280 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 707171
0 1280 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7719035
0 1280 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5258831
0 1280 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 2984479
0 1280 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605566
0 1280 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352437
0 1280 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441066
0 1280 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6301527
0 1280 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3506370
0 1280 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17723826
0 1280 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4328389
0 1280 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21654207
0 128 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 699628
0 128 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 727100
0 128 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 731115
0 128 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 6391693
0 128 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 655452
0 128 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 163603
0 128 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 1920632
0 128 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10351779
0 128 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5215402
0 128 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 448152
0 128 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 4449874
0 128 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 3169553
0 128 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 1714381
0 128 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 602642
0 128 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 348816
0 128 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 438580
0 128 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 5864747
0 128 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3061481
0 128 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 14165986
0 128 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 3929343
0 128 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 18501959
0 1344 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 939153
0 1344 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 992015
0 1344 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 980395
0 1344 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7801281
0 1344 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 773400
0 1344 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 207441
0 1344 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2114633
0 1344 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10420186
0 1344 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5250762
0 1344 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 689799
0 1344 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7804562
0 1344 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5360676
0 1344 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3089505
0 1344 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605567
0 1344 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 352543
0 1344 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441024
0 1344 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6314853
0 1344 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3525116
0 1344 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17760809
0 1344 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4326961
0 1344 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21722040
0 1408 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 957561
0 1408 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1003779
0 1408 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 997660
0 1408 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7862948
0 1408 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 778943
0 1408 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 213443
0 1408 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2125415
0 1408 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10561331
0 1408 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5321697
0 1408 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 718134
0 1408 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7805142
0 1408 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5484835
0 1408 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3020062
0 1408 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606576
0 1408 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353140
0 1408 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441445
0 1408 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6331108
0 1408 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3531583
0 1408 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17846034
0 1408 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4332477
0 1408 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21752275
0 1472 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 971517
0 1472 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1022087
0 1472 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1008284
0 1472 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7916472
0 1472 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 783174
0 1472 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 215615
0 1472 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2135046
0 1472 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10702295
0 1472 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5393257
0 1472 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 737347
0 1472 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7899149
0 1472 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5574215
0 1472 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3080409
0 1472 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606204
0 1472 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353225
0 1472 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441586
0 1472 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6342044
0 1472 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3546525
0 1472 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17959750
0 1472 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4346550
0 1472 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21816770
0 1536 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 958390
0 1536 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1009291
0 1536 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1002483
0 1536 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7878898
0 1536 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 778249
0 1536 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 211074
0 1536 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2125506
0 1536 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10420765
0 1536 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5251611
0 1536 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 734614
0 1536 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7923003
0 1536 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5619727
0 1536 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3171058
0 1536 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 605933
0 1536 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 353138
0 1536 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441373
0 1536 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6327566
0 1536 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3541261
0 1536 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 17956305
0 1536 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4334300
0 1536 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21879708
0 1600 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 978974
0 1600 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1028502
0 1600 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1023414
0 1600 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7924851
0 1600 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 787156
0 1600 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 220065
0 1600 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2138046
0 1600 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10746279
0 1600 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5415024
0 1600 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 737502
0 1600 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 7996472
